Abbey Road,1969-09-26,The Beatles,beatles.jpg,Rock,Apple Records/Capitol Records,4,3.5,2,0,0
Camp,2011-11-15,Childish Gambino,Childishgambino.jpg,Hip-Hop,Glassnote Records,3,2.5,1.5,0,0
channel ORANGE,2012-07-10,Frank Ocean,frankOcean.jpg,Hip-Hop,Def Jam Records,4,3.5,2,0,0
Believe,2012-06-15,Justin Bieber,JustinBieber.jpg,Pop,Schoolboy Records/RBMG Records/Island Records,4,3.5,2,0,0
Watch The Throne,2011-08-08,Jay-Z & Kanye West,watch_the_throne.jpg,Hip-Hop,Roc-A-Fella Records/Roc Nation Records/Def Jam Records,7,6,3.5,0,0
Until Now,2012-10-22,Swedish House Mafia,swedishhousemafia.jpg,Electronic,Polydor Records,3,2.5,1.5,0,0
Europop,1999-11-22,Eiffel 65,Eiffel65.jpg,Electronic,Bliss Corporation/Universal Records/Republic Music,3,2.5,1.5,0,0
Let's Talk About Love,1997-11-14,Céline Dion,CelineDion.jpg,Pop,Epic Records/550 Music,2,1.5,1,0,0
American Idiot,2004-09-21,Green Day,greenday.jpg,Rock,Reprise Records,4,3.5,2,0,0
Ocean Eyes,2009-07-14,Owl City,ocean_eyes.jpg,Pop,Universal Republic,3,2.5,1.5,0,0
The Used,2002-06-25,The Used,theused.jpg,Rock,Reprise Records,3,2.5,1.5,0,0
Overexposed,2012-06-26,Maroon 5,maroon5.jpg,Pop,A&M Octone Records,3,2.5,1.5,0,0
Black Holes and Revelations,2006-07-03,Muse,muse.jpg,Rock,Helium 3/Warner Bros. Records,4,3.5,2,0,0
Daughtry,2006-11-21,Daughtry,daughtry.jpg,Rock,RCA Records/19 Entertainment,5,4,2.5,0,0
Tu Vas Pas Mourir de Rire,2003-04-08,Mickey 3D,Mickey3D.jpg,Rock,Virgin,3,2.5,1.5,0,0
Mylo Xyloto,2011-10-19,Coldplay,Coldplay.jpg,Pop/Rock,Parlophone,4,3.5,2,0,0
Where the Oceans End,2010-10-25,Cocoon,Cocoon.jpg,Pop,Barclay,3,2.5,1.5,0,0
There is Nothing Left to Lose,1999-11-02,Foo Fighters,FooFighters.jpg,Pop/Rock,RCA Records,2,1.5,1,0,0
Panique Celtique,1998-07-07,Manau,Manau.jpg,Hip-Hop,Polydor Records,3,2.5,1.5,0,0
Get Your Heart On !,2011-06-21,Simple Plan,SimplePlan.jpg,Pop/Rock,Atlantic,5,4,2.5,0,0
Generation,2000-10-10,Indochine,Indochine.jpg,Pop/Rock,BMG Ariola,3,2.5,1.5,0,0
Back to Bedlam,2005-01-04,James Blunt,JamesBlunt.jpg,Pop/Rock,Atlantic Custard,2,1.5,1,0,0
4x4=12,2010-12-06,deadmau5,deadmau5.jpg,Electronic,Mau5trap/Ultra Records/Virgin Records,5,4,2.5,0,0
Hot Shot,2000-08-08,Shaggy,Shaggy.jpg,Reggae,MCA Records,4,3.5,2,0,0
The Black Album,1991-08-12,Metallica,metallica.jpg,Metal,Elektra Records,4,3.5,2,0,0
Take a Look in the Mirror,2003-11-21,Korn,korn.jpg,Metal,Epic Records,3,2.5,1.5,0,0
Vol. 3: (The Subliminal Verses),2004-05-25,Slipknot,Slipknot.jpg,Metal,RoadRunner Records,4,3.5,2,0,0
Sacrament,2006-08-22,Lamb Of God,lambofgod.jpg,Metal,Epic Records,5,4,2.5,0,0
Doomsday Machine,2005-07-26,Arch Enemy,archEnemy.jpg,Metal,Century Media,3,2.5,1.5,0,0
2001,1999-11-16,Dr. Dre,drdre.jpg,Hip-Hop,Aftermath Entertainment,3,2.5,1.5,0,0
Scary Monsters and Nice Sprites,2010-10-22,Skrillex,skrillex.jpg,Electronic,Big Beat Records,3,2.5,1.5,0,0
Dutty Rock,2002-11-12,Sean Paul,seanpaul.jpg,Reggae,VP Records,3,2.5,1.5,0,0
Burnin',1973-10-19,Bob Marley,bobmarley.jpg,Reggae,Island Records,4,3.5,2,0,0
Welcome to Jamrock,2005-09-12,Damian Marley,damianmarley.jpg,Reggae,Universal Records,3,2.5,1.5,0,0
